Date; SPY ; DIA ; VIX ; VTSMX ; VTMGX ; VEIEX ; VGSIX ; VIPSX ; VFITX 
29.06.2000; 108.34   ; 73.50   ; 19.70   ; 25.04   ; 7.72   ; 8.00   ; 5.17   ; 6.21   ; 4.96   
30.06.2000; 109.16   ; 73.59   ; 19.54   ; 25.22   ; 7.79   ; 8.07   ; 5.03   ; 6.22   ; 4.99   
03.07.2000; 110.66   ; 74.71   ; 19.83   ; 25.47   ; 7.85   ; 8.26   ; 5.15   ; 6.23   ; 5.00   
05.07.2000; 108.66   ; 74.03   ; 21.16   ; 25.07   ; 7.82   ; 8.27   ; 5.21   ; 6.24   ; 5.01   
06.07.2000; 109.51   ; 74.10   ; 20.94   ; 25.30   ; 7.80   ; 8.23   ; 5.25   ; 6.24   ; 5.00   
07.07.2000; 111.27   ; 74.97   ; 19.22   ; 25.67   ; 7.86   ; 8.26   ; 5.27   ; 6.25   ; 5.01   
10.07.2000; 111.08   ; 75.09   ; 20.33   ; 25.64   ; 7.91   ; 8.30   ; 5.27   ; 6.24   ; 5.00   
11.07.2000; 111.32   ; 75.62   ; 20.11   ; 25.68   ; 7.88   ; 8.18   ; 5.25   ; 6.24   ; 4.99   
12.07.2000; 112.04   ; 76.01   ; 20.03   ; 25.99   ; 7.86   ; 8.24   ; 5.26   ; 6.24   ; 4.99   
13.07.2000; 112.54   ; 76.15   ; 20.03   ; 26.11   ; 7.80   ; 8.22   ; 5.25   ; 6.25   ; 5.01   
14.07.2000; 113.64   ; 76.32   ; 19.32   ; 26.35   ; 7.83   ; 8.24   ; 5.25   ; 6.24   ; 4.98   
17.07.2000; 113.45   ; 76.15   ; 19.45   ; 26.38   ; 7.84   ; 8.26   ; 5.25   ; 6.24   ; 4.97   
18.07.2000; 112.53   ; 75.88   ; 19.75   ; 26.04   ; 7.73   ; 8.20   ; 5.24   ; 6.25   ; 4.97   
19.07.2000; 111.62   ; 75.57   ; 19.65   ; 25.76   ; 7.69   ; 8.02   ; 5.23   ; 6.24   ; 4.96   
20.07.2000; 113.17   ; 76.92   ; 18.94   ; 26.10   ; 7.73   ; 8.02   ; 5.29   ; 6.25   ; 5.01   
21.07.2000; 110.96   ; 75.55   ; 18.94   ; 25.76   ; 7.66   ; 8.07   ; 5.30   ; 6.25   ; 5.01   
24.07.2000; 110.33   ; 75.42   ; 19.92   ; 25.41   ; 7.65   ; 7.93   ; 5.31   ; 6.25   ; 5.00   
25.07.2000; 110.68   ; 75.39   ; 19.39   ; 25.54   ; 7.66   ; 7.91   ; 5.33   ; 6.26   ; 5.00   
26.07.2000; 109.60   ; 74.49   ; 19.67   ; 25.23   ; 7.67   ; 7.91   ; 5.40   ; 6.26   ; 5.00   
27.07.2000; 109.23   ; 74.86   ; 19.60   ; 25.03   ; 7.53   ; 7.82   ; 5.45   ; 6.26   ; 5.01   
28.07.2000; 106.76   ; 74.14   ; 20.84   ; 24.47   ; 7.41   ; 7.62   ; 5.45   ; 6.26   ; 5.00   
31.07.2000; 107.44   ; 74.14   ; 20.74   ; 24.73   ; 7.46   ; 7.66   ; 5.47   ; 6.27   ; 5.02   
01.08.2000; 108.10   ; 74.84   ; 20.55   ; 24.79   ; 7.46   ; 7.69   ; 5.56   ; 6.27   ; 5.04   
02.08.2000; 108.64   ; 75.55   ; 20.00   ; 24.81   ; 7.46   ; 7.71   ; 5.55   ; 6.28   ; 5.04   
03.08.2000; 109.39   ; 75.50   ; 19.99   ; 25.06   ; 7.33   ; 7.67   ; 5.50   ; 6.28   ; 5.05   
04.08.2000; 109.98   ; 75.90   ; 18.62   ; 25.27   ; 7.38   ; 7.70   ; 5.44   ; 6.29   ; 5.07   
